variable,horizon,AR_rmse,AR_mae,BVAR_rmse,BVAR_mae,BVAR_LLM_rmse,BVAR_LLM_mae,AR_ratio,BVAR_ratio,BVAR_LLM_ratio,BVAR_dm_pval,BVAR_dm_sig,BVAR_LLM_dm_pval,BVAR_LLM_dm_sig
GDPC1_gr,1,13.380687748504554,7.431553908496236,21.99537521835027,11.293017163399591,20.727832913262432,9.625801038297805,1.0,1.6438149990316084,1.549085764711833,0.3493528694288598,,0.43702050292241607,
GDPC1_gr,2,12.226749270301196,7.350458140548495,32.16886505316284,16.764015173155062,29.622709478575594,11.142263735748335,1.0,2.631023532256533,2.4227788452756798,0.2755506972172402,,0.3478561173107388,
CPIAUCSL_yoy,1,3.709950589443134,2.868416110725364,3.2836681517473467,2.482939744884623,3.2654843619235363,2.4308968971958933,1.0,0.8850975431023806,0.8801961867674598,0.6743663767443883,,0.6840082374185412,
CPIAUCSL_yoy,2,2.254529920396914,1.7716750982591587,7.660775004744795,5.695890647025239,7.447213975402563,5.279587024280417,1.0,3.397947809624146,3.3032225068414562,0.07582590700243717,*,0.11585601952589918,
PCEPILFE_yoy,1,2.5157519498950225,1.8414499411350622,1.9228727150288534,1.418553082425139,1.6447127486993578,1.175888958186078,1.0,0.7643331907619474,0.653765864622698,0.41893676340870784,,0.22377827202488115,
PCEPILFE_yoy,2,0.9700605504382356,0.6396247779588602,5.075488273841917,3.83238038072603,4.423439354642443,3.3491404536932463,1.0,5.232135531693366,4.559962110245701,0.04512080480501067,**,0.03599101745546904,**
UNRATE,1,3.1455519566187995,1.9642578696652067,7.38562228512738,5.779484268350011,6.623177873200401,5.199980618027874,1.0,2.347957492670474,2.105569376866931,0.0054148238412909866,***,0.001825913048686201,***
UNRATE,2,3.265239901199379,1.82250818992394,25.20461551719048,20.045386837650756,21.41420469962737,17.669655970830597,1.0,7.7190700468692635,6.5582331919200065,0.024639981814805246,**,0.007574068229853249,***
FEDFUNDS,1,2.482185452817942,1.8725508600329874,0.7041441547336545,0.5765516863811415,0.6691815767241146,0.5716824850393543,1.0,0.28367910783389017,0.26959370661221754,0.033929204714310296,**,0.03531144977834068,**
FEDFUNDS,2,2.245664454857159,1.6043129011616106,2.108885580802277,1.7823584037773472,1.7232969526194954,1.466022995552592,1.0,0.9390920251870031,0.7673884443832059,0.7401814404992271,,0.318029269131907,
T10Y2Y,1,0.8611988853170099,0.7005978253620769,2.08665090437065,1.6041088647107529,1.648790514264705,1.2527489222956023,1.0,2.4229605262465563,1.9145293176474332,0.09162828485655371,*,0.11323352325281048,
T10Y2Y,2,0.6458803003046392,0.5377111620310194,7.082333777026656,5.217354779216481,5.356971536951719,4.020771576428984,1.0,10.965396798270772,8.294062436065975,0.09574368002577624,*,0.07062186019889029,*
BAA10Y,1,0.6980219612185392,0.5721454772850669,2.893643062103037,2.240962244127499,2.6535528375677564,2.018360043724427,1.0,4.145490002995887,3.8015320219086526,0.02589630194756328,**,0.01573286732121321,**
BAA10Y,2,0.571799248286413,0.4444087798033193,8.12152941124052,6.101614017412929,7.139600658600119,5.449890252669371,1.0,14.203462903421766,12.486201547127441,0.040687926004473074,**,0.022399213265013988,**
VIXCLS_log,1,0.44542202520402896,0.3484556517159114,2.844397552441476,2.240014379599241,2.5295904876136084,1.8759156647518345,1.0,6.385848457176265,5.679087122947973,0.02362853469774728,**,0.010710270715235738,**
VIXCLS_log,2,0.3910693366049159,0.28584626966315757,7.643973923832607,5.837582624806778,6.769305446990424,5.3629426163330445,1.0,19.546339250717207,17.30973209446289,0.056188971586420285,*,0.021099897795024393,**
